compound_chembl_id,standard_inchi_key,smiles,hERG_blocker,pIC50,median_pIC50_equiv,std_pIC50_equiv,high_discordance,label_conflict,label_source,best_evidence_tier,n_measurements,n_exact_potency,n_pct_inhibition,n_censored,n_activator_rows,endpoints_used,source
CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,0,4.2,4.2,,False,False,exact_potency,1,2,1,0,1,0,IC50,chembl
CHEMBL4066256,AABBLHFMQYNECK-NRFANRHFSA-N,Cc1c([C@@H](O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,0,4.69,4.69,0.099,False,False,exact_potency,1,2,2,0,0,0,IC50,chembl
CHEMBL3759362,AACMOCSSQXOERG-PZJWPPBQSA-N,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CC2CCN(C(C)=O)CC2)C[C@H]1OC,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL410234,AACWUFIIMOHGSO-UHFFFAOYSA-N,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,1,6.187,6.187,0.0,False,False,exact_potency,1,2,2,0,0,0,IC50,"bindingdb,chembl"
CHEMBL3946995,AAELEHAFAYIZRH-WGSAOQKQSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,1,5.676,5.676,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL5079310,AAFPGACSSOSLPD-UHFFFAOYSA-N,CCC(=O)N(CC1(N2CCN(CC(C)(C)O)CC2)CCOCC1)c1cccc(C(F)(F)F)n1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL3221489,AAGISEXHOPCAHZ-KRWDZBQOSA-N,Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL3609749,AAHNBILIYONQLX-QFIPXVFZSA-N,COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1,5.212,5.212,0.461,False,True,exact_potency,1,2,2,0,0,0,EC50|Ki,chembl
CHEMBL3609637,AAHNBILIYONQLX-UHFFFAOYSA-N,COc1cc(-c2cn(C3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1,5.236,5.236,0.491,False,True,exact_potency,1,2,2,0,0,0,IC50,chembl
CHEMBL553,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL4206639,AAMMWJACZPQZNL-LBPRGKRZSA-N,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2cn(-c3cncc(F)c3)nc2C1)C(F)(F)F,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL1080117,AAONJNLMLWRZJE-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,1,5.8,5.8,0.551,False,False,exact_potency,1,3,3,0,0,0,IC50,chembl
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,4.45,4.45,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3958494,AAPXNHMQKBDDJN-AVRDEDQJSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccccc3)C2)n1C,1,5.4,5.4,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3913062,AAPXNHMQKBDDJN-GCJKJVERSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3)C2)n1C,1,5.33,5.33,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3983937,AAPXNHMQKBDDJN-PGRDOPGGSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,1,5.54,5.54,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3901211,AAPXNHMQKBDDJN-XMSQKQJNSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccccc3)C2)n1C,1,5.44,5.44,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL488069,AAQZZAVVFRIEOD-UHFFFAOYSA-N,CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,1,5.951,5.951,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
